149 192
sA43 31.549545 34.497475
sA44 31.559504 34.482736
sA45 31.550613 34.481521
sA46 31.553284 34.478909
sA47 31.547274 34.474991
sA48 31.539394 34.465241
sA49 31.535392 34.486515
sA50 31.533235 34.472942
sA51 31.539580 34.482218
sA52 31.546216 34.454597
sA53 31.541823 34.450667
sA54 31.530820 34.440196
sA55 31.527980 34.437977
sA56 31.521999 34.432410
sA57 31.514486 34.425920
sA58 31.505930 34.418114
sA59 31.502807 34.414769
sA60 31.486913 34.400909
sA61 31.476453 34.388805
sA62 31.457292 34.370163
sA63 31.443158 34.355985
sA64 31.439217 34.352482
sA65 31.425631 34.338582
sA66 31.410043 34.321633
sA67 31.401781 34.311341
sA68 31.393256 34.300427
sA69 31.382237 34.289057
sA70 31.364788 34.270309
sA71 31.345370 34.246500
sA72 31.331452 34.230257
sA73 31.326464 34.234541
sA74 31.316550 34.233035
sA75 31.351507 34.254378
sA76 31.501068 34.434432
sA77 31.511824 34.445703
sA78 31.514004 34.450374
sA79 31.525745 34.463645
sA80 31.527677 34.466453
sA81 31.515256 34.466464
sA82 31.508493 34.457782
sA83 31.507648 34.455550
sA84 31.520809 34.442312
sA85 31.532353 34.455147
sA86 31.525076 34.469296
sA87 31.391239 34.332583
sA88 31.389616 34.316130
sA89 31.379181 34.314603
sA90 31.376464 34.303126
sA91 31.378274 34.300779
sA92 31.376070 34.296560
sA93 31.343514 34.308537
sA94 31.339937 34.305919
sA95 31.342271 34.302191
sA96 31.344379 34.303083
sA97 31.361534 34.319906
sA98 31.351451 34.306232
sA99 31.355522 34.281384
sA100 31.363917 34.278822
sA101 31.359811 34.274948
sA102 31.339423 34.253963
sA103 31.345578 34.261026
sA104 31.333720 34.295658
sA105 31.322198 34.285943
sA106 31.314163 34.272107
sA107 31.309402 34.258005
sA108 31.318862 34.246649
sA109 31.324653 34.243446
sA110 31.307295 34.237081
sA111 31.307021 34.264989
sA112 31.301892 34.250027
sA113 31.288712 34.263648
sA114 31.279049 34.256194
sA115 31.275269 34.252892
sA116 31.271362 34.257220
sA117 31.282245 34.273744
sA118 31.309854 34.281659
sA119 31.270174 34.276190
sA120 31.432403 34.374417
sA121 31.428496 34.366770
sA122 31.432087 34.361524
sA123 31.433040 34.362137
BietHanon sA2
BietHanon sA3
BietHanon sA4
Gaza sA82
sA38 sA39
sA40 BietLahya
sA39 BietLahya
sA39 sA40
sA42 sA40
sA41 sA45
sA43 sA49
sA43 sA40
sA43 sA41
sA41 Atatra
sA45 sA47
sA47 sA46
sA48 sA47
sA47 sA51
sA51 sA50
sA51 sA49
Atatra sA44
sA44 sA46
sA1 sA2
sA1 sA38
sA2 sA3
sA3 sA4
sA4 sA5
sA5 sA6
sA6 sA7
sA7 sA8
sA8 sA9
sA9 Gaza
Gaza sA10
sA10 sA11
sA11 sA12
sA12 sA13
sA13 sA14
sA14 sA15
sA15 sA16
sA15 AlNosairat
sA16 sA17
sA17 sA18
sA18 sA19
sA19 sA20
sA20 sA21
sA21 sA22
sA22 sA23
sA23 sA24
sA24 sA25
sA25 sA97
sA98 sA97
sA98 KhanYounis
sA25 sA26
sA26 sA27
sA27 sA28
sA28 sA29
sA29 sA30
sA30 sA31
sA31 sA32
sA32 sA33
sA33 sA34
sA34 sA35
sA35 sA36
sA36 sA37
sA5 sA42
sA6 Jabalia
sA14 JohrAlDik
sA13 JohrAlDik
sA13 AlMughraqa
sA11 sA76
sA76 sA58
Jabalia sA50
sA50 sA80
sA80 sA79
sA80 sA86
sA86 sA81
sA81 sA82
sA82 sA83
sA83 sA77
sA77 sA78
sA78 sA79
sA78 sA84
sA84 sA55
sA85 sA53
sA52 sA48
sA52 sA53
sA53 sA54
sA54 sA55
sA55 sA56
sA56 sA57
sA57 sA58
sA58 sA59
sA59 sA60
sA60 sA61
sA61 sA62
sA62 sA63
sA63 sA64
sA64 sA65
sA65 sA66
sA66 sA67
sA67 sA68
sA68 sA69
sA69 sA70
sA70 sA75
sA75 sA71
sA71 sA72
sA72 sA73
sA73 sA74
sA59 sA12
AlMughraqa AlZahra
AlZahra sA61
sA62 AlNosairat
sA15 Albareej
sA16 sA120
sA120 AlZawayda
AlZawayda sA121
sA121 sA122
sA122 sA123
sA121 DairAlbalah
sA122 DairAlbalah
sA65 DairAlbalah
sA64 sA123
sA68 sA88
sA87 sA88
sA88 sA89
sA89 sA90
sA90 sA91
sA91 sA92
sA92 sA69
sA16 Almaghazi
sA17 sA120
sA17 sA17
sA18 AlMusaddar
sA19 DairAlbalah
sA20 WadiAlsalqa
sA21 WadiAlsalqa
sA21 AlMa'ani
sA23 sA87
sA24 AlQarara
sA25 AlQarara
sA28 BaniSuhaila
BaniSuhaila AbasanAlJadida
AbasanAlJadida AbsanAlkabir
BaniSuhaila AbsanAlkabir
sA28 sA93
sA93 sA94
sA94 sA95
sA95 sA96
sA96 KhanYounis
sA95 KhanYounis
sA96 sA99
sA95 sA104
sA104 sA105
sA94 sA104
sA93 KhanYounis
sA30 sA93
sA30 sA94
sA99 sA100
sA99 sA100
sA99 sA101
sA101 sA70
sA100 sA92
sA75 AlMawasi
sA103 AlMawasi
sA102 sA103
sA103 sA101
sA102 sA71
sA32 UmKarmeil
sA33 UmKarmeil
sA36 sA117
sA37 sA119
sA119 sA116
sA116 sA115
sA115 sA114
sA113 sA117
sA113 Rafah
sA113 sA114
sA114 Rafah
sA112 Tal'Aalsultan
sA105 sA118
sA118 sA106
sA118 sA113
sA106 sA111
sA111 sA112
sA107 sA108
sA108 sA109
sA109 sA102
sA73 AlQaryaAlsowaydia
sA74 AlQaryaAlsowaydia
sA110 Tal'Aalsultan
Rafah sA110
sA110 sA74
